Resource,Path,Min,Max,Field type,Data Type,Description,Available / Missing in KNHTS,Update Concept ID,Valueset URL,Comments
FHIR Version: R4B (4.3.0) — base resource: DiagnosticReport. NEW PROFILE — identified as a critical gap from real handover data (investigations.12-Lead ECG showing ST elevation was completely unmodeled).,,,,,,,,,,
DiagnosticReport,DiagnosticReport.status,1,1,Coded status,code,Workflow status of the report.,,,http://hl7.org/fhir/ValueSet/diagnostic-report-status,"REQUIRED (Min 1..1) AND MUST SUPPORT. Canonical FHIR ValueSet (required binding): registered | partial | preliminary | final | amended | corrected | appended | cancelled | entered-in-error | unknown. FLAG FROM REAL HANDOVER DATA: the source system's investigations.status value 'collected' does not map cleanly to any of these — 'collected' describes specimen state, not report state. Recommend mapping vendor 'collected' → 'registered' or 'partial' (result pending) and reserving 'final' for when an actual conclusion/result is attached, as in this sample where a conclusion is already present despite status='collected' — clarify this mapping with the vendor, it looks like an inconsistency in their source data."
DiagnosticReport,DiagnosticReport.category,1,1,Coded concept,CodeableConcept,"Broad diagnostic service category, e.g. cardiology (CG) for an ECG.",,,http://terminology.hl7.org/ValueSet/v2-0074,REQUIRED (Min 1..1) AND MUST SUPPORT.
DiagnosticReport,DiagnosticReport.code,1,1,Coded concept,CodeableConcept,"The specific investigation performed. Maps to investigation_id/investigation_name, e.g. LOINC 11524-6 '12-Lead EKG panel'.",,,http://hl7.org/fhir/ValueSet/report-codes (LOINC),"REQUIRED (Min 1..1) AND MUST SUPPORT. The sample payload's investigation_id ('LOINC-11524-6') is correctly LOINC-based, consistent with the vitals guidance elsewhere in this workbook — reuse as-is rather than re-coding."
DiagnosticReport,DiagnosticReport.subject,1,1,Reference,Reference(Patient),The patient the investigation was performed on.,,,n/a,REQUIRED (Min 1..1).
DiagnosticReport,DiagnosticReport.encounter,1,1,Reference,Reference(Encounter),"The encounter this investigation was performed in — typically EMPOCEncounter, or a downstream ED Encounter.",,,n/a,REQUIRED (Min 1..1).
DiagnosticReport,DiagnosticReport.effectiveDateTime,1,1,Timestamp,dateTime,When the investigation was performed/recorded. Maps to recorded_at.,,,n/a,"REQUIRED (Min 1..1) AND MUST SUPPORT — as time-critical as vitals for protocols like STEMI, where door-to-ECG and ECG-to-activation intervals are actively measured."
DiagnosticReport,DiagnosticReport.performer,0,1,Reference,Reference(Practitioner|PractitionerRole|Organization),Who performed/recorded the investigation. Maps to recorded_by.,,,n/a,MUST SUPPORT (Min 0..1) — recommended to always populate in practice.
DiagnosticReport,DiagnosticReport.conclusion,0,1,Narrative text,string,"Free-text clinical interpretation, e.g. 'ST elevation in leads V1-V4; consistent with anterior STEMI'. Maps to notes.",,,n/a,MUST SUPPORT (Min 0..1) — this is the single most clinically urgent field on this profile in the STEMI example; must never be silently dropped or truncated during ingestion. Preserve verbatim.
DiagnosticReport,DiagnosticReport.conclusionCode,0,*,Coded concept,CodeableConcept,"Coded equivalent of the free-text conclusion, e.g. a SNOMED CT code for 'ST elevation myocardial infarction'.",,,http://hl7.org/fhir/ValueSet/clinical-findings (SNOMED CT),"MUST SUPPORT (Min 0..*) — strongly recommended to populate alongside the free-text conclusion (not instead of it) so downstream systems (SHA claims, cardiology alert dashboards, quality reporting) can query structurally rather than parsing free text. This is what should trigger, e.g., a STEMI-activation alert automatically rather than relying on a human reading the narrative."
DiagnosticReport,DiagnosticReport.result,0,*,Reference,Reference(Observation),"Discrete measurements underlying the report, if captured separately (e.g. specific ECG interval measurements).",,,n/a,"OPTIONAL — not must-support. Most field EMS ECG capture will only have a narrative conclusion, not discrete measurement Observations; populate opportunistically if the device/software provides them."
DiagnosticReport,DiagnosticReport.presentedForm,0,*,Attachment,Attachment,"The actual ECG trace/waveform image or PDF, if transmitted alongside the report.",,,n/a,"OPTIONAL — not must-support on this profile, but genuinely valuable when available since a receiving cardiologist will often want to see the actual trace, not just the narrative conclusion."